  ep 50/50 : ✓ t_succ= 50 max_z=0.990 hold=0.48 | running=100%
  => steps=4: success=100% t_succ=44.0 max_z=0.986

##### num_inference_steps = 2 #####
  ep  1/50 : ✗ t_succ=  - max_z=0.821 hold=0.00 | running=0%
  ep  2/50 : ✗ t_succ=  - max_z=0.821 hold=0.00 | running=0%
  ep  3/50 : ✗ t_succ=  - max_z=0.821 hold=0.00 | running=0%
  ep  4/50 : ✓ t_succ= 54 max_z=1.074 hold=0.37 | running=25%
  ep  5/50 : ✗ t_succ=  - max_z=0.830 hold=0.00 | running=20%
  ep  6/50 : ✗ t_succ=  - max_z=0.824 hold=0.00 | running=17%
  ep  7/50 : ✓ t_succ= 39 max_z=1.150 hold=0.58 | running=29%
  ep  8/50 : ✗ t_succ=  - max_z=0.824 hold=0.00 | running=25%
  ep  9/50 : ✗ t_succ=  - max_z=0.825 hold=0.00 | running=22%
  ep 10/50 : ✗ t_succ=  - max_z=0.827 hold=0.00 | running=20%
  ep 11/50 : ✓ t_succ= 55 max_z=1.079 hold=0.77 | running=27%
  ep 12/50 : ✗ t_succ=  - max_z=0.827 hold=0.00 | running=25%
  ep 13/50 : ✗ t_succ=  - max_z=0.829 hold=0.00 | running=23%
  ep 14/50 : ✗ t_succ=  - max_z=0.828 hold=0.00 | running=21%
  ep 15/50 : ✗ t_succ=  - max_z=0.830 hold=0.00 | running=20%
  ep 16/50 : ✗ t_succ=  - max_z=0.830 hold=0.00 | running=19%
  ep 17/50 : ✗ t_succ=  - max_z=0.829 hold=0.00 | running=18%
  ep 18/50 : ✗ t_succ=  - max_z=0.830 hold=0.00 | running=17%
  ep 19/50 : ✓ t_succ= 59 max_z=1.015 hold=0.27 | running=21%
  ep 20/50 : ✗ t_succ=  - max_z=0.831 hold=0.00 | running=20%
  ep 21/50 : ✗ t_succ=  - max_z=0.832 hold=0.00 | running=19%
  ep 22/50 : ✗ t_succ=  - max_z=0.831 hold=0.00 | running=18%
  ep 23/50 : ✓ t_succ= 80 max_z=0.999 hold=0.45 | running=22%
  ep 24/50 : ✗ t_succ=  - max_z=0.831 hold=0.00 | running=21%
  ep 25/50 : ✗ t_succ=  - max_z=0.831 hold=0.00 | running=20%
  ep 26/50 : ✗ t_succ=  - max_z=0.821 hold=0.00 | running=19%
  ep 27/50 : ✗ t_succ=  - max_z=0.829 hold=0.00 | running=19%
  ep 28/50 : ✗ t_succ=  - max_z=0.827 hold=0.00 | running=18%
  ep 29/50 : ✗ t_succ=  - max_z=0.828 hold=0.00 | running=17%
  ep 30/50 : ✗ t_succ=  - max_z=0.822 hold=0.00 | running=17%
